,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rawannawi,,,,,,,KI,
1,byron bay,-28.65,153.6167,60.8,94.0,75.0,4.61,AU,1619619164.0
2,taolanaro,,,,,,,MG,
3,puerto ayora,-0.7393,-90.3518,78.8,83.0,40.0,11.5,EC,1619618836.0
4,bambous virieux,-20.3428,57.7575,75.99,94.0,75.0,12.66,MU,1619619164.0
5,san cristobal,-0.9045,-89.6174,76.17,89.0,64.0,10.11,EC,1619619164.0
6,mehamn,71.0357,27.8492,28.4,74.0,75.0,9.22,NO,1619618832.0
7,tiksi,71.6872,128.8694,26.2,91.0,93.0,9.78,RU,1619619164.0
8,belushya guba,,,,,,,RU,
9,castro,-42.4721,-73.7732,54.0,100.0,90.0,3.44,CL,1619619165.0
10,tulum,20.2167,-87.4667,84.2,65.0,20.0,10.36,MX,1619619165.0
11,raudeberg,61.9875,5.1352,46.0,63.0,12.0,22.93,NO,1619619165.0
12,bethel,41.3712,-73.414,64.4,45.0,1.0,3.13,US,1619618829.0
13,ushuaia,-54.8,-68.3,41.0,81.0,40.0,2.3,AR,1619618831.0
14,longyearbyen,78.2186,15.6401,21.2,53.0,40.0,8.05,SJ,1619619165.0
15,waipawa,-41.4122,175.5153,50.0,81.0,6.0,9.22,NZ,1619619165.0
16,beringovskiy,63.05,179.3167,17.73,90.0,9.0,6.69,RU,1619619166.0
17,havoysund,70.9963,24.6622,28.4,74.0,75.0,9.22,NO,1619619166.0
18,busselton,-33.65,115.3333,64.0,92.0,100.0,5.68,AU,1619618835.0
19,cherskiy,68.75,161.3,16.41,91.0,100.0,7.07,RU,1619619166.0
20,jawhar,2.7809,45.5005,90.61,46.0,51.0,20.04,SO,1619619166.0
21,kununurra,-15.7667,128.7333,82.4,78.0,75.0,10.47,AU,1619619166.0
22,rikitea,-23.1203,-134.9692,75.52,75.0,9.0,6.76,PF,1619618828.0
23,mataura,,,,,,,PF,
24,kitimat,54.0524,-128.6534,43.0,96.0,100.0,2.06,CA,1619619167.0
25,cerritos,22.4333,-100.2833,72.0,48.0,1.0,0.92,MX,1619619167.0
26,georgetown,-7.9333,-14.4167,84.2,58.0,20.0,19.57,SH,1619619131.0
27,vanimo,-2.6741,141.3028,78.49,84.0,100.0,4.59,PG,1619619167.0
28,albany,-35.0169,117.8917,64.4,94.0,75.0,6.91,AU,1619618832.0
29,mar del plata,-38.0023,-57.5575,69.01,77.0,0.0,9.22,AR,1619619167.0
30,baneasa,44.0461,26.0642,55.99,67.0,92.0,16.69,RO,1619619167.0
31,hobart,-42.8794,147.3294,57.2,62.0,90.0,9.22,AU,1619618997.0
32,nizhneangarsk,55.7833,109.55,19.49,72.0,15.0,8.63,RU,1619619168.0
33,upernavik,72.7868,-56.1549,30.49,83.0,66.0,16.11,GL,1619618970.0
34,pevek,69.7008,170.3133,9.36,96.0,100.0,6.69,RU,1619619168.0
35,karaul,,,,,,,RU,
36,bilma,18.6853,12.9164,104.36,6.0,0.0,7.54,NE,1619619168.0
37,plettenberg bay,-34.0527,23.3716,65.17,73.0,3.0,4.59,ZA,1619619023.0
38,kavieng,-2.5744,150.7967,81.79,75.0,88.0,4.56,PG,1619619168.0
39,okha,53.5739,142.9478,28.02,75.0,100.0,11.92,RU,1619618961.0
40,barrow,71.2906,-156.7887,17.6,86.0,90.0,5.75,US,1619619169.0
41,constitucion,23.9912,-104.6749,62.6,48.0,1.0,11.5,MX,1619619169.0
42,grand gaube,-20.0064,57.6608,75.99,88.0,100.0,7.0,MU,1619618638.0
43,ribeira grande,38.5167,-28.7,66.2,59.0,75.0,16.11,PT,1619619169.0
44,grand river south east,,,,,,,MU,
45,lubao,-5.3667,25.75,86.29,58.0,62.0,6.24,CD,1619619003.0
46,butaritari,3.0707,172.7902,82.08,77.0,100.0,8.77,KI,1619619170.0
47,attawapiskat,,,,,,,CA,
48,katsuura,35.1333,140.3,66.99,63.0,75.0,24.16,JP,1619619170.0
49,tsihombe,,,,,,,MG,
50,atuona,-9.8,-139.0333,79.2,71.0,99.0,12.01,PF,1619619170.0
51,pakxan,18.3778,103.6601,79.03,75.0,66.0,3.02,LA,1619618913.0
52,vaini,-21.2,-175.2,73.4,100.0,75.0,15.61,TO,1619618835.0
53,kalemie,-5.9475,29.1947,78.49,70.0,54.0,6.82,CD,1619619170.0
54,sindou,10.6667,-5.1667,103.59,24.0,89.0,1.79,BF,1619619171.0
55,gualeguay,-33.1416,-59.3097,65.12,64.0,0.0,4.45,AR,1619619171.0
56,yellowknife,62.456,-114.3525,14.0,92.0,75.0,9.22,CA,1619619171.0
57,cesis,57.3119,25.2746,44.01,56.0,100.0,5.01,LV,1619619171.0
58,kruisfontein,-34.0033,24.7314,70.25,59.0,6.0,10.85,ZA,1619619171.0
59,hasaki,35.7333,140.8333,64.99,68.0,75.0,11.5,JP,1619619171.0
60,kuching,1.55,110.3333,82.4,83.0,20.0,3.4,MY,1619619171.0
61,paamiut,61.994,-49.6678,34.97,88.0,100.0,16.46,GL,1619619172.0
62,saskylakh,71.9167,114.0833,17.78,97.0,38.0,6.13,RU,1619619172.0
63,bluff,-46.6,168.3333,50.0,95.0,100.0,1.99,NZ,1619618833.0
64,mackay,-21.15,149.2,68.0,88.0,40.0,6.91,AU,1619618930.0
65,bowen,-20.0167,148.2333,66.2,88.0,40.0,4.61,AU,1619619172.0
66,norman wells,65.282,-126.8329,21.2,53.0,75.0,0.36,CA,1619619172.0
67,ketchikan,55.3422,-131.6461,46.4,93.0,90.0,8.05,US,1619619172.0
68,airai,,,,,,,PW,
69,kisesa,-3.0833,34.15,74.93,69.0,100.0,3.15,TZ,1619618892.0
70,klaksvik,62.2266,-6.589,39.2,87.0,90.0,10.36,FO,1619619173.0
71,mange,8.9167,-12.85,98.31,33.0,76.0,5.1,SL,1619619173.0
72,kavarna,43.4333,28.3333,53.6,82.0,75.0,16.11,BG,1619619173.0
73,tornio,65.8481,24.1466,39.2,48.0,0.0,11.5,FI,1619619173.0
74,hirara,24.8,125.2833,73.69,76.0,100.0,10.96,JP,1619619173.0
75,provideniya,64.3833,-173.3,30.2,81.0,9.0,5.59,RU,1619618970.0
76,sept-iles,50.2001,-66.3821,46.99,65.0,75.0,8.05,CA,1619618932.0
77,rovinj,45.08,13.64,62.6,63.0,20.0,6.91,HR,1619619174.0
78,matagami,49.7502,-77.6328,48.2,37.0,1.0,5.75,CA,1619619174.0
79,punta arenas,-53.15,-70.9167,42.8,75.0,75.0,27.63,CL,1619618831.0
80,bengkulu,-3.8004,102.2655,77.58,87.0,100.0,3.96,ID,1619618834.0
81,nsunga,-1.1439,31.3947,78.8,69.0,20.0,5.75,TZ,1619619174.0
82,praia,14.9215,-23.5087,78.8,53.0,40.0,17.27,CV,1619619174.0
83,victoria,-4.6167,55.45,86.0,70.0,40.0,4.61,SC,1619618832.0
84,yagodnoye,62.55,149.6667,21.76,92.0,100.0,2.8,RU,1619619175.0
85,barentsburg,,,,,,,SJ,
86,ancud,-41.8697,-73.8203,54.0,100.0,90.0,3.44,CL,1619618834.0
87,new norfolk,-42.7826,147.0587,54.0,84.0,98.0,1.01,AU,1619618970.0
88,whitehorse,60.7161,-135.0538,19.99,68.0,20.0,9.22,CA,1619619035.0
89,armacao dos buzios,,,,,,,BR,
90,gravdal,68.1214,13.5031,39.2,70.0,20.0,14.97,NO,1619619176.0
91,razole,16.4833,81.8333,84.2,74.0,75.0,10.36,IN,1619619176.0
92,yar-sale,66.8333,70.8333,26.47,85.0,100.0,10.94,RU,1619619176.0
93,nanakuli,21.3906,-158.1547,69.8,78.0,1.0,3.44,US,1619619004.0
94,namatanai,-3.6667,152.4333,79.56,81.0,88.0,5.61,PG,1619619176.0
95,karratha,-20.7377,116.8463,81.59,35.0,0.0,7.85,AU,1619619176.0
96,cape town,-33.9258,18.4232,66.2,55.0,40.0,20.71,ZA,1619619006.0
97,coxim,-18.5067,-54.76,85.66,24.0,86.0,7.16,BR,1619619176.0
98,thompson,55.7435,-97.8558,15.8,62.0,20.0,4.61,CA,1619619177.0
99,port alfred,-33.5906,26.891,71.46,65.0,0.0,16.49,ZA,1619618970.0
100,nara,15.1713,-7.2889,108.64,7.0,2.0,4.12,ML,1619619177.0
101,mukhtolovo,55.4644,43.1953,45.46,69.0,90.0,11.01,RU,1619619177.0
102,camacha,33.0833,-16.3333,68.0,60.0,20.0,11.5,PT,1619619177.0
103,kapaa,22.0752,-159.319,66.99,94.0,75.0,8.05,US,1619618833.0
104,hami,42.8,93.45,69.66,14.0,19.0,4.9,CN,1619619002.0
105,half moon bay,37.4636,-122.4286,51.8,71.0,1.0,3.44,US,1619619178.0
106,aleksandrovskiy zavod,50.9237,117.9374,23.9,91.0,57.0,5.82,RU,1619619178.0
107,illoqqortoormiut,,,,,,,GL,
108,khatanga,71.9667,102.5,23.76,88.0,99.0,7.94,RU,1619619178.0
109,mahadday weyne,,,,,,,SO,
110,rio gallegos,-51.6226,-69.2181,48.2,61.0,0.0,16.11,AR,1619619178.0
111,san patricio,19.2167,-104.7,73.4,88.0,90.0,1.01,MX,1619619178.0
112,adrar,25.75,-1.0,99.46,11.0,80.0,11.18,DZ,1619619178.0
113,bud,62.9088,6.9145,44.6,45.0,40.0,13.8,NO,1619619179.0
114,chuy,-33.6971,-53.4616,63.75,63.0,0.0,6.17,UY,1619619054.0
115,hilo,19.7297,-155.09,73.4,68.0,90.0,3.44,US,1619619179.0
116,talnakh,69.4865,88.3972,33.57,98.0,100.0,8.81,RU,1619619179.0
117,altay,47.8667,88.1167,53.8,49.0,51.0,4.76,CN,1619619179.0
118,husavik,66.0449,-17.3389,37.4,70.0,75.0,10.36,IS,1619619179.0
119,avarua,-21.2078,-159.775,80.6,83.0,20.0,5.75,CK,1619619179.0
120,nome,64.5011,-165.4064,30.2,86.0,20.0,19.57,US,1619619180.0
121,mehran,33.1222,46.1646,75.2,20.0,0.0,11.5,IR,1619619180.0
122,bredasdorp,-34.5322,20.0403,64.4,55.0,99.0,11.5,ZA,1619619180.0
123,kinshasa,-4.3246,15.3215,91.4,55.0,40.0,3.44,CD,1619618916.0
124,mys shmidta,,,,,,,RU,
125,los llanos de aridane,28.6585,-17.9182,71.6,64.0,75.0,5.75,ES,1619619180.0
126,mercedes,-34.6515,-59.4307,69.01,67.0,0.0,8.01,AR,1619619180.0
127,lebu,-37.6167,-73.65,58.71,76.0,100.0,1.95,CL,1619619181.0
128,cabinda,-5.55,12.2,89.6,66.0,20.0,8.05,AO,1619619181.0
129,nikolskoye,59.7035,30.7861,39.99,70.0,75.0,11.18,RU,1619619181.0
130,dicabisagan,17.0818,122.4157,73.38,81.0,50.0,0.18,PH,1619619181.0
131,buchanan,5.8808,-10.0467,89.6,62.0,75.0,8.05,LR,1619618977.0
132,tasiilaq,65.6145,-37.6368,32.0,93.0,75.0,1.14,GL,1619619181.0
133,sorland,67.667,12.6934,39.2,65.0,75.0,6.91,NO,1619619181.0
134,marovoay,-16.1,46.6333,91.4,58.0,20.0,3.44,MG,1619619182.0
135,aksu,41.1231,80.2644,75.31,13.0,0.0,3.15,CN,1619619182.0
136,ajdabiya,30.7554,20.2263,100.44,6.0,48.0,17.18,LY,1619618977.0
137,east london,-33.0153,27.9116,68.0,77.0,20.0,11.5,ZA,1619619182.0
138,ekhabi,53.5102,142.9671,27.57,75.0,100.0,11.81,RU,1619619182.0
139,lata,,,,,,,SB,
140,qiyang,26.5911,111.8474,60.91,92.0,94.0,2.84,CN,1619619182.0
141,tsaratanana,-16.7833,47.65,80.04,71.0,43.0,7.18,MG,1619618938.0
142,camana,-16.6228,-72.7111,69.17,77.0,100.0,7.78,PE,1619618896.0
143,mahebourg,-20.4081,57.7,75.2,94.0,75.0,12.66,MU,1619618962.0
144,tumannyy,,,,,,,RU,
145,puerto madryn,-42.7692,-65.0385,62.71,46.0,100.0,5.97,AR,1619618939.0
146,cary,35.7915,-78.7811,73.99,68.0,75.0,11.5,US,1619618892.0
147,moate,53.55,-7.7167,52.0,53.0,100.0,10.0,IE,1619619183.0
148,dukat,62.55,155.55,10.15,87.0,86.0,3.83,RU,1619619183.0
149,dalby,-27.1833,151.2667,60.01,81.0,100.0,12.95,AU,1619619184.0
150,laytown,53.6819,-6.2392,52.0,61.0,75.0,16.11,IE,1619619184.0
151,pauleni-ciuc,46.4,25.8333,43.0,58.0,94.0,2.71,RO,1619619184.0
152,hermanus,-34.4187,19.2345,64.0,73.0,100.0,1.99,ZA,1619618832.0
153,codrington,,,,,,,AG,
154,vila velha,-20.3297,-40.2925,81.0,78.0,75.0,10.36,BR,1619619184.0
155,nizhneyansk,,,,,,,RU,
156,acapulco,16.8634,-99.8901,80.6,65.0,75.0,5.75,MX,1619619006.0
157,labuhan,-6.8844,112.2051,80.37,76.0,100.0,4.32,ID,1619619185.0
158,lar,27.6618,54.3231,95.0,14.0,40.0,18.41,IR,1619618637.0
159,bokoro,12.3807,17.0568,107.19,4.0,14.0,9.15,TD,1619619185.0
160,churachandpur,24.3333,93.6667,70.9,42.0,0.0,1.5,IN,1619619004.0
161,necochea,-38.5473,-58.7368,69.01,68.0,99.0,3.0,AR,1619619185.0
162,nguiu,,,,,,,AU,
163,qaanaaq,77.484,-69.3632,30.0,76.0,98.0,10.8,GL,1619619186.0
164,te anau,-45.4167,167.7167,48.18,94.0,100.0,2.84,NZ,1619619186.0
165,finschhafen,-6.6024,147.8681,76.93,91.0,100.0,7.96,PG,1619619186.0
166,kandrian,-6.2167,149.55,76.98,88.0,95.0,2.39,PG,1619619186.0
167,carnarvon,-24.8667,113.6333,66.2,82.0,2.0,5.75,AU,1619619187.0
168,caravelas,-17.7125,-39.2481,84.6,52.0,17.0,5.17,BR,1619619187.0
169,severo-kurilsk,50.6789,156.125,33.78,90.0,96.0,10.31,RU,1619619187.0
170,teya,60.3778,92.6267,37.6,93.0,100.0,6.13,RU,1619619187.0
171,kodiak,57.79,-152.4072,42.8,87.0,90.0,13.8,US,1619619187.0
172,senneterre,48.3835,-77.2328,46.4,49.0,75.0,6.91,CA,1619619187.0
173,geraldton,-28.7667,114.6,64.4,82.0,19.0,4.61,AU,1619619007.0
174,hithadhoo,-0.6,73.0833,83.73,64.0,58.0,2.24,MV,1619618941.0
175,palabuhanratu,,,,,,,ID,
176,bababe,,,,,,,MR,
177,ulaangom,49.9811,92.0667,52.14,46.0,98.0,0.83,MN,1619618641.0
178,kieta,-6.2167,155.6333,79.02,80.0,99.0,3.49,PG,1619618642.0
179,kalmunai,7.4167,81.8167,82.83,76.0,100.0,9.37,LK,1619618829.0
180,marand,38.4329,45.7749,68.0,42.0,75.0,4.61,IR,1619619189.0
181,aklavik,68.2191,-135.0107,21.2,42.0,20.0,4.61,CA,1619619189.0
182,port elizabeth,-33.918,25.5701,68.0,77.0,0.0,9.22,ZA,1619619189.0
183,caconda,-13.7333,15.0667,76.95,45.0,100.0,2.39,AO,1619619189.0
184,esperance,-33.8667,121.9,62.6,88.0,48.0,10.36,AU,1619618831.0
185,dikson,73.5069,80.5464,32.09,94.0,100.0,10.49,RU,1619618829.0
186,port blair,11.6667,92.75,83.55,70.0,64.0,1.45,IN,1619618911.0
187,turinskaya sloboda,57.6232,64.3858,53.65,29.0,79.0,12.17,RU,1619619190.0
188,nizhnevartovsk,60.9344,76.5531,51.8,32.0,0.0,4.47,RU,1619618931.0
189,vestmannaeyjar,63.4427,-20.2734,50.0,46.0,0.0,6.91,IS,1619619190.0
190,irbeyskoye,55.6428,95.4522,45.63,85.0,100.0,7.78,RU,1619619190.0
191,kathmandu,27.7167,85.3167,75.2,46.0,20.0,8.05,NP,1619619086.0
192,evensk,61.95,159.2333,16.95,61.0,1.0,10.4,RU,1619619190.0
193,hondo,29.3475,-99.1414,75.0,83.0,90.0,16.11,US,1619619190.0
194,jamestown,-15.9387,-5.7168,69.96,72.0,43.0,19.24,SH,1619618832.0
195,ugoofaaru,5.6667,73.0,83.98,73.0,100.0,7.54,MV,1619619057.0
196,lecce,40.2167,18.1667,73.4,68.0,40.0,6.91,IT,1619619191.0
197,qui nhon,13.7667,109.2333,78.49,85.0,100.0,2.08,VN,1619619099.0
198,new baltimore,42.6811,-82.7369,68.0,68.0,90.0,6.91,US,1619619191.0
199,chokurdakh,70.6333,147.9167,4.24,97.0,73.0,6.06,RU,1619619191.0
200,pangnirtung,66.1451,-65.7125,19.4,79.0,90.0,3.44,CA,1619619191.0
201,quatre cocos,-20.2078,57.7625,75.99,94.0,75.0,12.66,MU,1619619192.0
202,sharjah,25.3573,55.4033,96.8,23.0,20.0,17.27,AE,1619619192.0
203,jalingo,8.8833,11.3667,103.55,24.0,100.0,4.47,NG,1619619192.0
204,beamsville,43.1668,-79.4829,51.01,81.0,100.0,6.91,CA,1619619192.0
205,sitka,57.0531,-135.33,44.6,87.0,90.0,4.61,US,1619619192.0
206,panjab,34.388,67.0233,61.99,18.0,5.0,10.69,AF,1619619192.0
207,port hedland,-20.3167,118.5667,73.4,68.0,0.0,5.75,AU,1619619192.0
208,shorapur,16.5167,76.75,97.14,21.0,41.0,7.65,IN,1619619192.0
209,mahibadhoo,3.7833,72.9667,84.0,70.0,94.0,6.46,MV,1619619054.0
210,abu samrah,,,,,,,QA,
211,isangel,-19.55,169.2667,73.29,63.0,29.0,12.95,VU,1619619193.0
212,tuatapere,-46.1333,167.6833,50.0,95.0,100.0,1.99,NZ,1619619043.0
213,kribi,2.95,9.9167,77.45,86.0,100.0,4.85,CM,1619619193.0
214,broome,-17.9667,122.2333,77.0,78.0,40.0,7.65,AU,1619619049.0
215,saint-augustin,51.226,-58.6502,36.07,97.0,100.0,6.49,CA,1619619193.0
216,arraial do cabo,-22.9661,-42.0278,78.8,73.0,40.0,5.75,BR,1619619194.0
217,moose factory,51.2585,-80.6094,46.4,34.0,1.0,6.91,CA,1619619194.0
218,talara,-4.5772,-81.2719,71.6,73.0,0.0,18.41,PE,1619619194.0
219,mount isa,-20.7333,139.5,66.2,42.0,75.0,8.61,AU,1619619194.0
220,araguaina,-7.1911,-48.2072,84.38,68.0,40.0,2.1,BR,1619619194.0
221,makakilo city,21.3469,-158.0858,73.4,78.0,1.0,3.44,US,1619619194.0
222,olinda,-8.0089,-34.8553,84.2,70.0,40.0,6.91,BR,1619619194.0
223,taltal,-25.4,-70.4833,67.89,62.0,0.0,7.31,CL,1619619195.0
224,saint george,32.3817,-64.6781,66.2,63.0,40.0,3.44,BM,1619618966.0
225,shangrao,28.4532,117.9686,62.44,96.0,100.0,1.97,CN,1619619007.0
226,nioro,,,,,,,ML,
227,ouallam,14.3188,2.0866,109.35,10.0,0.0,10.83,NE,1619619195.0
228,george,-33.963,22.4617,60.8,82.0,75.0,6.91,ZA,1619619195.0
229,vysokogornyy,50.1167,139.15,35.37,98.0,100.0,5.35,RU,1619619195.0
230,vila,,,,,,,VU,
231,skalistyy,,,,,,,RU,
232,ixtapa,20.7,-105.2,77.0,83.0,90.0,3.44,MX,1619619196.0
233,naze,28.3667,129.4833,66.87,82.0,100.0,10.49,JP,1619619196.0
234,barinas,8.6226,-70.2075,73.4,100.0,100.0,6.91,VE,1619618931.0
235,krasnokamensk,50.0979,118.0369,30.7,70.0,94.0,10.98,RU,1619619197.0
236,jetafe,10.1472,124.1539,80.6,74.0,20.0,5.75,PH,1619619197.0
237,ewa beach,21.3156,-158.0072,73.4,78.0,1.0,3.44,US,1619619197.0
238,bolungarvik,,,,,,,IS,
239,kingaroy,-26.5333,151.8333,59.0,94.0,75.0,5.75,AU,1619619197.0
240,iqaluit,63.7506,-68.5145,26.6,93.0,90.0,9.22,CA,1619619053.0
241,ust-kulom,61.6864,53.6902,39.07,95.0,100.0,3.65,RU,1619619198.0
242,mori,34.8333,137.9333,64.0,84.0,100.0,1.01,JP,1619619198.0
243,tessalit,20.1986,1.0114,107.73,6.0,74.0,8.99,ML,1619619198.0
244,tara,56.8944,74.371,54.09,41.0,33.0,3.51,RU,1619619198.0
245,aldan,58.6031,125.3894,20.12,96.0,99.0,7.67,RU,1619619198.0
246,narsaq,60.9167,-46.05,44.6,61.0,20.0,4.61,GL,1619619198.0
247,jalu,29.0331,21.5482,97.93,5.0,0.0,12.06,LY,1619619198.0
248,matamoros,25.5333,-103.25,78.8,25.0,40.0,9.08,MX,1619619035.0
249,samarai,-10.6167,150.6667,79.34,79.0,100.0,13.96,PG,1619619199.0
250,la quinta,33.6634,-116.31,64.4,36.0,1.0,11.5,US,1619619199.0
251,sao filipe,14.8961,-24.4956,74.17,74.0,2.0,10.74,CV,1619619053.0
252,bintulu,3.1667,113.0333,78.8,94.0,20.0,3.04,MY,1619619199.0
253,sao joao da barra,-21.6403,-41.0511,78.8,65.0,75.0,6.91,BR,1619618930.0
254,port hardy,50.6996,-127.4199,48.2,93.0,75.0,13.8,CA,1619619199.0
255,dingle,52.1408,-10.2689,51.8,50.0,75.0,10.36,IE,1619619199.0
256,hailey,43.5196,-114.3153,37.4,60.0,1.0,11.5,US,1619619200.0
257,kendari,-3.945,122.4989,77.49,81.0,66.0,2.68,ID,1619619200.0
258,la union,37.6191,-0.878,73.99,64.0,20.0,10.36,ES,1619619200.0
259,mitu,1.1983,-70.1733,74.53,91.0,97.0,2.35,CO,1619619200.0
260,solovetskiy,,,,,,,RU,
261,oistins,13.0667,-59.5333,80.6,65.0,75.0,17.27,BB,1619619200.0
262,ayia galini,35.1,24.6833,86.0,42.0,40.0,23.02,GR,1619619200.0
263,vardo,70.3705,31.1107,26.6,80.0,75.0,11.5,NO,1619619201.0
264,maniitsoq,65.4167,-52.9,36.75,68.0,100.0,2.17,GL,1619619201.0
265,la palma,8.4028,-78.1453,81.59,65.0,98.0,3.47,PA,1619619201.0
266,northam,-31.6667,116.6667,66.99,63.0,100.0,3.44,AU,1619619201.0
267,amderma,,,,,,,RU,
268,cidreira,-30.1811,-50.2056,63.52,69.0,96.0,14.56,BR,1619619201.0
269,mineiros,-17.5694,-52.5511,77.07,44.0,100.0,6.78,BR,1619619201.0
270,kaitangata,-46.2817,169.8464,53.01,81.0,100.0,1.99,NZ,1619619202.0
271,batemans bay,-35.7167,150.1833,60.01,88.0,96.0,1.01,AU,1619619202.0
272,kita,13.0349,-9.4895,110.75,12.0,5.0,1.03,ML,1619619202.0
273,anadyr,64.75,177.4833,17.6,86.0,0.0,11.18,RU,1619619202.0
274,torbay,47.6666,-52.7314,46.99,93.0,90.0,18.41,CA,1619619202.0
